agent_type,bar_type,rounds,attendance_mean,attendance_std,price_mean,price_std,profit_mean,profit_std,welfare_mean,welfare_std,distress_pct_mean,distress_pct_std,trailing_mean_attendance_mean,trailing_mean_attendance_std,fraction_converged_attendance,median_convergence_round_attendance
heuristic,passive,1000,2.4145999999999996,0.3752488736448347,10.0,0.0,22.421620000000004,3.6399140743549014,10.723163617785788,3.6394110450612858,0.0,0.0,2.19665,0.3941017500518608,0.69,400.0
heuristic,regression,1000,2.4145999999999996,0.3752488736448347,3.6673884091805946,0.6360472014897028,7.719050068426112,2.0586200095892986,10.723163617785788,3.6394110450612858,0.0,0.0,2.19665,0.3941017500518608,0.69,400.0
heuristic,q_learning,1000,2.43105,0.42601634565785945,6.624700000000001,2.1667143934137383,14.536525000000001,5.880166847257901,10.931274579128182,4.028683052332563,0.0,0.0,2.25555,0.45266935276125436,0.74,400.0
heuristic,gp,1000,2.38906,0.41332247835208663,9.943472,0.03245100761069683,21.971994000000006,4.015530686988394,10.524337004283357,3.89751113391606,0.0,0.0,2.2211000000000003,0.4352780256295504,0.76,400.0
bayesian,passive,1000,1.90207,0.24089006902223126,10.0,0.0,17.450078999999995,2.3366336695156433,8.31263078324612,1.9951319971039043,0.0,0.0,1.9524499999999998,0.2481776968059765,0.05,400.0
bayesian,regression,1000,4.4442900000000005,0.13196099018002605,2.3803539735941626,0.7430057159388389,7.331040714244234,1.612340157394746,35.9383162472402,1.4084924139727966,0.0,0.0,4.60285,0.16187701872693105,0.08,400.0
bayesian,q_learning,1000,4.0299000000000005,0.2397702393475213,2.8167,0.4750773993293465,7.272810000000001,0.8156749594629896,31.618240242910375,2.5423257490602227,0.0,0.0,4.173650000000001,0.2697256883756105,0.06,400.0
bayesian,gp,1000,2.7842700000000002,0.32187097782129465,6.67544,1.1904593310944722,15.709019000000001,2.0604033619851716,17.187701128359272,3.5073356787162093,0.0,0.0,2.875300000000001,0.37160912722152484,0.01,200.0
no_regret,passive,1000,0.08978999999999998,0.020640890572753,10.0,0.0,-0.12903699999999999,0.20021663855570407,-0.35747855730910627,0.18558925210325794,0.0,0.0,0.0,0.0,1.0,400.0
no_regret,regression,1000,0.46831999999999996,1.3096922830816544,3.925472377995904,0.7635121469945352,2.0282366168446053,7.315473673539824,1.9502584090937458,7.76372341742092,0.0,0.0,0.2974,1.2018944389688484,0.94,400.0
no_regret,q_learning,1000,8.60886,1.565161617627052,5.2782599999999995,1.7170290210098078,39.555941999999995,13.901299057523472,41.24244257329896,8.219582503690608,0.0,0.0,8.623800000000001,1.8019389276526268,0.71,400.0
no_regret,gp,1000,0.14694999999999997,0.04023927801227918,6.425136,0.1717910379243083,0.299431,0.3550403860069437,0.12355978629161657,0.3424482563416599,0.0,0.0,0.0,0.0,1.0,400.0
q_learning,passive,1000,0.40992000000000006,0.02133980962303728,10.0,0.0,2.9762239999999998,0.20699615334346158,0.2941971431325022,0.10290306056552526,0.0,0.0,0.24989999999999998,0.03281398445415576,0.0,
q_learning,regression,1000,4.7268799999999995,1.4965296507438652,3.348135645545238,1.4607943180609104,9.527156656044577,3.1407495510990584,34.87478385277971,13.146251079802813,0.0,0.0,5.2773,1.19037202825695,0.05,400.0
q_learning,q_learning,1000,4.7066300000000005,0.8158577026725317,4.53106,0.7976090257637498,12.986791000000004,4.055302693209787,31.269779038607762,8.363315153633627,0.0,0.0,5.1533500000000005,0.9062220542539017,0.07,400.0
q_learning,gp,1000,0.8885199999999999,1.0954901811379676,9.240272,1.3357601585719956,4.881828,4.699969167340948,3.8711397035738013,8.235519429689253,0.0,0.0,0.84415,1.327946895425682,0.01,400.0
