agent_type,bar_type,rounds,attendance_mean,attendance_std,price_mean,price_std,profit_mean,profit_std,welfare_mean,welfare_std,distress_pct_mean,distress_pct_std,trailing_mean_attendance_mean,trailing_mean_attendance_std,fraction_converged_attendance,median_convergence_round_attendance
heuristic,passive,10,4.813,0.36725985075937445,10.0,0.0,45.68610000000002,3.5624205523659325,39.562720505773925,5.023290448908599,0.0,0.0,4.1,1.0075472768815938,0.0,
heuristic,regression,10,4.813,0.36725985075937445,9.832312188675504,0.08154539109576005,44.91391027347464,3.6854417329820612,39.562720505773925,5.023290448908599,0.0,0.0,4.1,1.0075472768815938,0.0,
heuristic,q_learning,10,4.774,0.37889259158710925,3.7799999999999994,1.1903653628066035,15.547799999999997,6.218667170201134,38.70896743183266,5.238970561626183,0.0,0.0,3.755,1.1965755008744452,0.0,
heuristic,gp,10,4.752999999999999,0.4100886822051144,7.9088,0.6596008587996932,33.92170000000001,5.520159208471138,38.556068912021885,5.789332448720524,0.0,0.0,3.955,1.1216307572260826,0.0,
bayesian,passive,10,0.6779999999999999,0.4267755542874659,10.0,0.0,5.576600000000001,4.139722876588419,1.2433028475422585,1.8811539553078642,0.0,0.0,1.065,0.757637876241118,0.0,
bayesian,regression,10,0.934,0.4385973971282511,8.95479913178705,0.2737710561855853,6.600703519470385,3.732078921139025,2.7236764437033463,2.516983275283976,0.0,0.0,1.755,0.98086490384556,0.0,
bayesian,q_learning,10,3.605999999999999,0.5748640594685729,3.3240000000000003,0.8426892977398327,6.6701999999999995,1.769257094564458,27.18893043785207,6.417686899838146,0.0,0.0,3.145,1.23969489566725,0.0,
bayesian,gp,10,1.8869999999999998,0.5918051481132395,7.284800000000001,1.095242678703001,8.4015,3.0891129696717052,10.911650851200777,5.421876275394119,0.0,0.0,1.65,1.2441783626071456,0.0,
no_regret,passive,10,4.544999999999999,0.530746567762731,10.0,0.0,43.08649999999999,5.148241707298492,36.32641036649949,5.983280894753234,0.0,0.0,4.315,1.2545976054158368,0.0,
no_regret,regression,10,4.598,0.5230022114019338,9.765560439308517,0.1020933657289766,42.51176756366065,5.288619016169832,36.95820912016729,5.896712754090207,0.0,0.0,4.45,1.2643120059877817,0.0,
no_regret,q_learning,10,5.469000000000001,0.3642329701793299,3.5940000000000003,1.1236502565255342,17.0333,6.35807035954854,44.226598901518294,4.058528413198473,0.0,0.0,6.045,1.1505268885220028,0.0,
no_regret,gp,10,5.121,0.4956976514127958,8.0224,0.6514213209388663,38.688100000000006,4.366895366437596,41.88204146700531,5.282199085243391,0.0,0.0,5.305,1.2530669446110083,0.0,
q_learning,passive,10,1.4609999999999999,0.3404972596635454,10.0,0.0,13.171699999999998,3.30282341873639,5.550046151545265,2.5696870190106056,0.0,0.0,1.575,0.8238092110201343,0.0,
q_learning,regression,10,1.465,0.34913312560388676,9.23904503167337,0.2670119469061642,12.059277608416112,3.1295726966234296,5.596867394577358,2.7041895248969516,0.0,0.0,1.575,0.8238092110201343,0.0,
q_learning,q_learning,10,1.8179999999999998,0.5591082365714355,3.8400000000000007,1.1115554667022045,5.1426,2.3131288094027296,8.751494143777643,4.6777132146575,0.0,0.0,2.245,1.0718976846997321,0.0,
q_learning,gp,10,1.5130000000000001,0.40741981921711795,7.796800000000001,0.70566378236195,10.2217,3.5191688800142296,6.178267555783877,3.3823506568524255,0.0,0.0,1.63,0.8184118644044573,0.0,
